chrom_name	random_walk_weighted	random_walk_unweighted
chr1	0.15106917563670574	0.15106917563670574
chr2	0.12183459927087231	0.12183459927087231
chr3	0.15846419498384975	0.15846419498384975
chr4	0.12037047648313394	0.12037047648313394
chr5	0.16090706698617044	0.16090706698617044
chr6	0.09537791488242296	0.09537791488242296
chr7	0.14672154964988307	0.14672154964988307
chrX	0.23044089639680526	0.23044089639680526
chr8	0.12695070733411598	0.12695070733411598
chr9	0.14544866574700566	0.14544866574700566
chr11	0.1819264331861935	0.1819264331861935
chr10	0.12429059645152594	0.12429059645152594
chr12	0.15223878058561355	0.15223878058561355
chr13	0.15350656240454355	0.15350656240454355
chr14	0.15809788862337792	0.15809788862337792
chr15	0.16241085856518842	0.16241085856518842
chr16	0.21586467133440268	0.21586467133440268
chr17	0.17169858383910555	0.17169858383910555
chr18	0.1271186319533942	0.1271186319533942
chr20	0.19033441263442227	0.19033441263442227
chr19	0.2036339316201351	0.2036339316201351
chr22	0.13014170581585824	0.13014170581585824
chr21	0.06072665891426772	0.06072665891426772
