chrom_name	random_walk_weighted	random_walk_unweighted
chr1	0.6188328988858796	0.6188328988858796
chr2	0.6186314553819819	0.6186314553819819
chr3	0.6200286523660574	0.6200286523660574
chr4	0.63415131370729	0.63415131370729
chr5	0.6116873231149432	0.6116873231149432
chr6	0.6130397633175024	0.6130397633175024
chr7	0.6237639779103775	0.6237639779103775
chrX	0.6021891156698991	0.6021891156698991
chr8	0.6311105215289006	0.6311105215289006
chr9	0.6268396390045448	0.6268396390045448
chr11	0.6364263553211947	0.6364263553211947
chr10	0.6280634358174116	0.6280634358174116
chr12	0.6189246376026186	0.6189246376026186
chr13	0.6275771329763306	0.6275771329763306
chr14	0.6327484520292188	0.6327484520292188
chr15	0.621753815068929	0.621753815068929
chr16	0.6332855090831263	0.6332855090831263
chr17	0.6455441468771325	0.6455441468771325
chr18	0.6461829142148967	0.6461829142148967
chr20	0.6287030890213474	0.6287030890213474
chr19	0.6638261618523899	0.6638261618523899
chr22	0.6388812249004374	0.6388812249004374
chr21	0.6322059104705909	0.6322059104705909
