chrom_name	random_walk_weighted	random_walk_unweighted
chr1	0.10487131274856244	0.10487131274856244
chr2	0.06884997391509856	0.06884997391509856
chr3	0.1059696392702242	0.1059696392702242
chr4	0.08374024075773312	0.08374024075773312
chr5	0.1100420114688222	0.1100420114688222
chr6	0.0559428513387223	0.0559428513387223
chr7	0.11676341198949292	0.11676341198949292
chrX	0.15892369302805776	0.15892369302805776
chr8	0.0661027379961534	0.0661027379961534
chr9	0.10735970592091552	0.10735970592091552
chr11	0.1318613031497175	0.1318613031497175
chr10	0.06749530099627102	0.06749530099627102
chr12	0.1046616143728387	0.1046616143728387
chr13	0.09901116319065033	0.09901116319065033
chr14	0.11414498583675671	0.11414498583675671
chr15	0.06514916844257426	0.06514916844257426
chr16	0.15262047403330264	0.15262047403330264
chr17	0.1130871970081046	0.1130871970081046
chr18	0.06631385978074797	0.06631385978074797
chr20	0.1305087338101202	0.1305087338101202
chr19	0.1399432912421146	0.1399432912421146
chr22	0.06446038448830829	0.06446038448830829
chr21	0.01850329663621486	0.01850329663621486
