chrom_name	window_start	window_end	random_walk	window_weights	max_graph	o_max_graph
chrX	0	5000000	0.5703153724578307	1.0	nan	nan
chrX	2500000	7500000	0.601144844086902	1.0	nan	nan
chrX	5000000	10000000	0.5811527351194563	1.0	nan	nan
chrX	7500000	12500000	0.6245636324187909	1.0	nan	nan
chrX	10000000	15000000	0.5484186933251538	1.0	nan	nan
chrX	12500000	17500000	0.5370074053117782	1.0	nan	nan
chrX	15000000	20000000	0.6026457189133894	1.0	nan	nan
chrX	17500000	22500000	0.6517406216002273	1.0	nan	nan
chrX	20000000	25000000	0.6429703725024001	1.0	nan	nan
chrX	22500000	27500000	0.6129148710330672	1.0	nan	nan
chrX	25000000	30000000	0.6883694937113982	1.0	nan	nan
chrX	27500000	32500000	0.6725150991543276	1.0	nan	nan
chrX	30000000	35000000	0.647387694652166	1.0	nan	nan
chrX	32500000	37500000	0.6757664675909498	1.0	nan	nan
chrX	35000000	40000000	0.641854157316043	1.0	nan	nan
chrX	37500000	42500000	0.5812392800051875	1.0	nan	nan
chrX	40000000	45000000	0.5910349421580781	1.0	nan	nan
chrX	42500000	47500000	0.5985236650474413	1.0	nan	nan
chrX	45000000	50000000	0.6166287794865735	1.0	nan	nan
chrX	47500000	52500000	0.6368781388030134	1.0	nan	nan
chrX	50000000	55000000	0.5824996725307516	1.0	nan	nan
chrX	52500000	57500000	0.5818316892374942	1.0	nan	nan
chrX	55000000	60000000	0.5619141856662506	1.0	nan	nan
chrX	57500000	62500000	nan	1.0	nan	nan
chrX	60000000	65000000	nan	1.0	nan	nan
chrX	62500000	67500000	0.6120177543691137	1.0	nan	nan
chrX	65000000	70000000	0.6197631617510484	1.0	nan	nan
chrX	67500000	72500000	0.5523531130054211	1.0	nan	nan
chrX	70000000	75000000	0.5954045302445299	1.0	nan	nan
chrX	72500000	77500000	0.6378369507660953	1.0	nan	nan
chrX	75000000	80000000	0.6117532511878967	1.0	nan	nan
chrX	77500000	82500000	0.5989898610798798	1.0	nan	nan
chrX	80000000	85000000	0.6069417765871385	1.0	nan	nan
chrX	82500000	87500000	0.5905149702306485	1.0	nan	nan
chrX	85000000	90000000	0.5180149750774705	1.0	nan	nan
chrX	87500000	92500000	0.36454879184673894	1.0	nan	nan
chrX	90000000	95000000	0.3766643501187519	1.0	nan	nan
chrX	92500000	97500000	0.6007876412344146	1.0	nan	nan
chrX	95000000	100000000	0.6941963229878971	1.0	nan	nan
chrX	97500000	102500000	0.644185929773077	1.0	nan	nan
chrX	100000000	105000000	0.6226246456075128	1.0	nan	nan
chrX	102500000	107500000	0.6393814552138932	1.0	nan	nan
chrX	105000000	110000000	0.6133960713806808	1.0	nan	nan
chrX	107500000	112500000	0.5714257085666221	1.0	nan	nan
chrX	110000000	115000000	0.5719217394646132	1.0	nan	nan
chrX	112500000	117500000	0.6610667987588528	1.0	nan	nan
chrX	115000000	120000000	0.6104246411612104	1.0	nan	nan
chrX	117500000	122500000	0.6051093495156386	1.0	nan	nan
chrX	120000000	125000000	0.6830448118240917	1.0	nan	nan
chrX	122500000	127500000	0.6992573732521286	1.0	nan	nan
chrX	125000000	130000000	0.6514349022015591	1.0	nan	nan
chrX	127500000	132500000	0.6132773133633709	1.0	nan	nan
chrX	130000000	135000000	0.6052336963528484	1.0	nan	nan
chrX	132500000	137500000	0.6075955415088337	1.0	nan	nan
chrX	135000000	140000000	0.5995356524679574	1.0	nan	nan
chrX	137500000	142500000	0.6522604313002691	1.0	nan	nan
chrX	140000000	145000000	0.642491398164615	1.0	nan	nan
chrX	142500000	147500000	0.6521522293487299	1.0	nan	nan
chrX	145000000	150000000	0.4975306432527611	1.0	nan	nan
chrX	147500000	152500000	0.4425190484311361	1.0	nan	nan
chrX	150000000	155000000	0.6153730847498629	1.0	nan	nan
chrX	151040895	156040895	0.6009994919179655	1.0	nan	nan
