chrom_name	window_start	window_end	random_walk	window_weights	max_graph	o_max_graph
chr15	0	5000000	nan	1.0	nan	nan
chr15	2500000	7500000	nan	1.0	nan	nan
chr15	5000000	10000000	nan	1.0	nan	nan
chr15	7500000	12500000	nan	1.0	nan	nan
chr15	10000000	15000000	nan	1.0	nan	nan
chr15	12500000	17500000	1.0	1.0	nan	nan
chr15	15000000	20000000	nan	1.0	nan	nan
chr15	17500000	22500000	nan	1.0	nan	nan
chr15	20000000	25000000	nan	1.0	nan	nan
chr15	22500000	27500000	0.5684199512627552	1.0	nan	nan
chr15	25000000	30000000	0.5736304496986617	1.0	nan	nan
chr15	27500000	32500000	0.6257882648656417	1.0	nan	nan
chr15	30000000	35000000	0.6229640207085021	1.0	nan	nan
chr15	32500000	37500000	0.5948427875992452	1.0	nan	nan
chr15	35000000	40000000	0.6402870076079075	1.0	nan	nan
chr15	37500000	42500000	0.6201478147290811	1.0	nan	nan
chr15	40000000	45000000	0.5892660176402846	1.0	nan	nan
chr15	42500000	47500000	0.5914235137924948	1.0	nan	nan
chr15	45000000	50000000	0.5653193137304997	1.0	nan	nan
chr15	47500000	52500000	0.5445074966023205	1.0	nan	nan
chr15	50000000	55000000	0.6167379324673601	1.0	nan	nan
chr15	52500000	57500000	0.6815028399387446	1.0	nan	nan
chr15	55000000	60000000	0.6275308805128916	1.0	nan	nan
chr15	57500000	62500000	0.5901552429600656	1.0	nan	nan
chr15	60000000	65000000	0.6269106352722917	1.0	nan	nan
chr15	62500000	67500000	0.6340254236779281	1.0	nan	nan
chr15	65000000	70000000	0.618984836401997	1.0	nan	nan
chr15	67500000	72500000	0.6188517025413571	1.0	nan	nan
chr15	70000000	75000000	0.6344739241726143	1.0	nan	nan
chr15	72500000	77500000	0.6454338616002002	1.0	nan	nan
chr15	75000000	80000000	0.6463495773773575	1.0	nan	nan
chr15	77500000	82500000	0.6179553034749428	1.0	nan	nan
chr15	80000000	85000000	0.6113946229030656	1.0	nan	nan
chr15	82500000	87500000	0.6195289969101581	1.0	nan	nan
chr15	85000000	90000000	0.6182827127721768	1.0	nan	nan
chr15	87500000	92500000	0.657017832276682	1.0	nan	nan
chr15	90000000	95000000	0.6423424963824707	1.0	nan	nan
chr15	92500000	97500000	0.52314766257452	1.0	nan	nan
chr15	95000000	100000000	0.505655689836797	1.0	nan	nan
chr15	96991189	101991189	0.6232432699147121	1.0	nan	nan
